interaction_id,user_id,timestamp,channel,interaction_type
71ef5336-fc98-4d9a-bd41-8e7f641899c4,user_0,2023-01-28 06:56:01.000000,Influencer Networks,click
37f9e1a3-1b9f-4975-86b4-3642afa592d6,user_1,2023-02-01 15:58:59.000000,YouTube,click
0144dab2-cc2c-430f-bd2f-b64cbae6c3ec,user_1,2023-02-04 06:58:59.000000,Influencer Networks,click
f45cdfd9-4342-4fc6-8cc9-7332585d6620,user_1,2023-02-07 03:58:59.000000,Influencer Networks,click
ba65b985-1e49-4a6f-8273-9ba156542e33,user_1,2023-02-09 02:58:59.000000,Influencer Networks,click
80ba5b16-6519-47f5-bba6-d3126edeaa42,user_1,2023-02-10 19:58:59.000000,Influencer Networks,click
b638e202-e0a7-4f4b-8857-792abfbe5e53,user_1,2023-02-12 03:58:59.000000,Influencer Networks,click
b4215c71-9852-42b1-b309-470e4f2a0756,user_1,2023-02-12 07:58:59.000000,TikTok,click
10ed79b3-2b0f-4ccd-9958-c8904f00734c,user_1,2023-02-13 01:58:59.000000,Google Search,click
12c50689-1c76-4220-a9a3-7cbe0fe3936f,user_2,2023-06-08 10:26:04.000000,YouTube,click
9fbfe29e-1088-4948-8898-4b9abc1e8809,user_2,2023-06-11 12:26:04.000000,E-commerce Marketplaces,click
c9d9e3d6-e7f6-4823-b785-cdc75c580712,user_2,2023-06-14 00:26:04.000000,TikTok,click
271a8a24-1cc1-4716-af29-8ad690e9c0a3,user_2,2023-06-16 04:26:04.000000,Google Search,click
b6a763e7-eaab-4c38-a28c-35c626f08d4d,user_2,2023-06-17 07:26:04.000000,E-commerce Marketplaces,click
a8bc492c-b6cb-4aad-956f-89dcdc25d223,user_2,2023-06-18 00:26:04.000000,E-commerce Marketplaces,click
203e924b-73ff-4837-87fa-a877d4efaab5,user_2,2023-06-18 22:26:04.000000,E-commerce Marketplaces,click
23207623-87dc-4d87-b820-3e733a449e05,user_2,2023-06-19 20:26:04.000000,Influencer Networks,click
2b90cfab-2c05-4aff-87ef-94c75c00e467,user_3,2023-05-05 20:14:05.000000,TikTok,click
5149afbc-38b0-4f2a-800f-ea39686c2c7a,user_3,2023-05-08 13:14:05.000000,Google Search,click
46a35204-bdbb-4d53-8626-5212ea8b6b6e,user_3,2023-05-10 17:14:05.000000,Instagram,click
c1f6cf41-7605-4f9c-858a-a9dcb65125b4,user_3,2023-05-12 09:14:05.000000,E-commerce Marketplaces,click
249f1674-fe8e-4b33-890c-15029684b556,user_3,2023-05-13 17:14:05.000000,Programmatic Display,click
a0ccbfba-1ac4-4d3c-aecd-8d68c44834f3,user_3,2023-05-14 23:14:05.000000,Programmatic Display,click
c55441a5-7fc4-4520-a18c-48b0e4623e5f,user_3,2023-05-15 19:14:05.000000,TikTok,click
8ae47044-9383-44b7-95a2-433b1219753e,user_3,2023-05-16 13:14:05.000000,Instagram,click
91aa5485-e0d7-43f3-9f52-a448cd76854e,user_3,2023-05-16 14:14:05.000000,Instagram,click
8a662473-3278-4246-9d2c-f5e765c5cbd2,user_3,2023-05-17 01:14:05.000000,TikTok,click
3194a31b-4092-4aff-9e7f-bb4a771e642e,user_4,2023-02-09 08:14:36.000000,TikTok,click
f61a79d8-5385-4d57-8141-9eaca8151b36,user_5,2023-11-02 11:37:57.000000,Google Search,click
4d2dde4c-c7e7-49e6-b639-f9ac954b963d,user_5,2023-11-05 04:37:57.000000,Google Search,click
af1b51ed-7d1f-4d0c-b21c-3f734d6be0ab,user_5,2023-11-08 02:37:57.000000,E-commerce Marketplaces,click
9f0de1e9-4272-4f1c-aaf1-aabacadd14fb,user_5,2023-11-10 12:37:57.000000,E-commerce Marketplaces,click
609ceecd-abba-4e2b-bc70-e4e5a04a734c,user_5,2023-11-12 02:37:57.000000,Google Search,click
151fb549-34c8-4d43-9525-3380b15044a0,user_5,2023-11-13 02:37:57.000000,E-commerce Marketplaces,click
e17fb7b0-0f66-48d0-8926-d3e191c6f633,user_6,2023-09-17 02:07:34.030842,Google Search,click
7281edb4-0b10-4be2-b5c0-ca2e692220d6,user_6,2023-09-17 02:07:34.239526,E-commerce Marketplaces,click
000c333b-e3ca-4cc4-b53d-891a23ba93d2,user_6,2023-09-17 02:07:34.405478,Google Search,click
b04ff52d-4668-4bf9-9704-c99e6654987b,user_6,2023-09-17 02:07:34.630142,Google Search,click
fb5dcdf2-2663-40f5-928b-9422c305238a,user_6,2023-09-17 02:07:34.876735,Programmatic Display,click
d23e39ac-609b-4ee0-b88e-e721dcec009b,user_6,2023-09-17 02:07:35.025552,YouTube,click
9ab745f8-856b-41cb-86f7-cd75313e6a8b,user_6,2023-09-17 02:07:35.211998,Influencer Networks,click
e5c25faa-fa8f-4fab-9aed-bb5a91723e5a,user_6,2023-09-17 02:07:35.474701,Google Search,click
6391dc74-ffcf-4c97-884d-f5ad4610c299,user_6,2023-09-17 02:07:35.612919,E-commerce Marketplaces,click
726db9a4-238c-4caf-b1ab-d518ce8eb6eb,user_6,2023-09-17 02:07:35.870367,E-commerce Marketplaces,click
9aeafa52-4d2b-49ed-a941-96dfe653e39a,user_6,2023-09-17 02:07:36.055872,TikTok,click
35905f95-d2e6-44b3-a0b2-3112d744adec,user_6,2023-09-17 02:07:36.280620,Instagram,click
