user_id,touch_count,avg_time_diff,min_time_diff,channel_entropy,conversion_status,anomaly_score
user_0,1,86400.0,86400.0,0.0,0,1
user_1,8,140914.2857142857,14400.0,1.5487949349246184,0,1
user_10,5,210600.0,147600.0,1.9219280891165822,0,1
user_100,6,176400.0,61200.0,0.9182958311690995,1,1
user_1000,4,204000.0,176400.0,1.4999999956719148,0,1
user_10000,10,120000.0,36000.0,2.321928086231192,0,1
user_10001,2,270000.0,270000.0,-1.4426951595367387e-09,0,-1
user_10002,5,211500.0,144000.0,1.5219280905592771,0,1
user_10003,5,218700.0,147600.0,1.9219280891165822,0,1
user_10004,9,122850.0,32400.0,1.6577427207341087,1,1
user_10005,9,117450.0,7200.0,2.419381936990201,0,1
user_10006,4,208800.0,144000.0,1.4999999956719148,1,1
user_10007,10,126000.0,28800.0,1.760964041672901,0,1
user_10008,9,107550.0,10800.0,1.7527152732089246,0,1
user_10009,9,134550.0,21600.0,0.9864267244027574,0,1
user_1001,5,198900.0,154800.0,1.3709505901265835,0,1
user_10010,3,266400.0,234000.0,1.584962496393071,0,1
user_10011,1,86400.0,86400.0,0.0,0,1
user_10012,6,151200.0,61200.0,1.9182958282837093,0,1
user_10013,6,164880.0,115200.0,1.792481244589798,0,1
user_10014,5,204300.0,97200.0,1.3709505901265835,1,1
user_10015,30,0.19789510344827582,0.107138,2.719368821994976,0,-1
user_10016,3,212400.0,176400.0,1.584962496393071,0,1
user_10017,2,244800.0,244800.0,0.99999999711461,0,1
user_10018,8,131142.85714285713,25200.0,1.4056390579014812,0,1
user_10019,7,141000.0,3600.0,1.3787834891580906,0,1
user_1002,6,159120.0,61200.0,1.4591479126991596,1,1
user_10020,6,174960.0,46800.0,1.2516291630597378,1,1
user_10021,46,0.20031862222222227,0.124457,2.7753088932426797,0,1
user_10022,6,177840.0,57600.0,1.792481244589798,0,1
user_10023,5,214200.0,147600.0,1.5219280905592771,1,1
user_10024,6,172080.0,100800.0,1.584962496393071,0,1
user_10025,8,137314.2857142857,57600.0,1.74999999422922,1,1
user_10026,7,162600.0,39600.0,1.5566567031347378,0,1
user_10027,1,86400.0,86400.0,0.0,0,1
user_10028,9,118800.0,3600.0,1.3516441108253072,0,1
user_10029,4,195600.0,144000.0,0.8112781215737428,0,1
user_1003,1,86400.0,86400.0,0.0,0,1
user_10030,4,241200.0,198000.0,1.4999999956719148,0,1
user_10031,5,195300.0,129600.0,0.7219280920019722,0,1
user_10032,5,204300.0,108000.0,1.3709505901265835,0,1
user_10033,9,124200.0,39600.0,2.5032583261194756,0,1
user_10034,3,257400.0,244800.0,0.9182958311690995,0,1
user_10035,3,226800.0,226800.0,1.584962496393071,0,1
user_10036,4,230400.0,176400.0,-1.4426951595367387e-09,0,-1
user_10037,72,0.1995675633802817,0.11265,2.775470561453505,0,-1
user_10038,8,124457.14285714286,28800.0,2.155639055016091,0,1
user_10039,3,246600.0,234000.0,1.584962496393071,0,1
user_1004,2,223200.0,223200.0,0.99999999711461,0,1
user_10040,8,128571.42857142857,36000.0,1.4056390579014812,0,1
user_10041,2,237600.0,237600.0,-1.4426951595367387e-09,1,-1
user_10042,8,130114.28571428571,3600.0,2.155639055016091,1,1
user_10043,8,147600.0,54000.0,1.9999999927865248,1,1
user_10044,8,140400.0,72000.0,1.4056390579014812,0,1
user_10045,4,226800.0,183600.0,1.4999999956719148,0,1
user_10046,10,125600.0,7200.0,1.4854752928992492,0,1
user_10047,3,253800.0,216000.0,1.584962496393071,0,1
user_10048,5,203400.0,100800.0,1.5219280905592771,1,1
user_10049,7,152400.0,50400.0,1.8423709874063285,0,1
user_1005,5,198900.0,126000.0,1.9219280891165822,0,1
user_10050,2,248400.0,248400.0,-1.4426951595367387e-09,0,-1
user_10051,3,268200.0,248400.0,0.9182958311690995,0,1
user_10052,8,133714.2857142857,14400.0,1.5612781201310477,0,1
user_10053,4,228000.0,201600.0,1.9999999942292197,1,1
user_10054,2,298800.0,298800.0,0.99999999711461,0,-1
user_10055,9,131850.0,50400.0,1.8365916623381988,0,1
